stock_id,近一日收盤價,近一季股本,近一季合約負債_流動,當月營收,rev_year_growth_營收年增率,rev_month_growth_營收月增率,累計營收,近3月平均營收,近12月平均營收,近一季營業毛利率,最近一季營業毛利年增率,近一季營業利益率,近一季營業利益年增率,近一季稅後淨利率,近一季稅後淨利率,近一季稅後淨利年增率,近一季每股盈餘EPS,eps_growth_rate_EPS年增率,近一日殖利率,近一季存貨,最近一日外資買賣超張數,最近一日投信買賣超張數,name,category,A+B+C+D+E,外資+投信
5209,10,10,9,10,5,4,10,10,10,3,8,7,8,7,7,8,10,8,4,1,9,5,新鼎,"['人工智慧', '人工智慧:智慧設備', '人工智慧:機器學習', '人工智慧:移動控制', '人工智慧:系統整合', '人工智慧:自然語言處理', '人工智慧:資料處理', '人工智慧:運算設備', '人工智慧:雲端平台', '人工智慧:電腦視覺', '人工智慧:領域解決方案', '人工智慧:顧問諮詢', '大數據', '大數據:儲存處理', '大數據:分析工具', '大數據:應用軟體', '大數據:系統整合', '大數據:資料庫', '大數據:運算元件與設備', '大數據:雲端平台', '大數據:領域解決方案', '大數據:顧問諮詢', '軟體服務', '軟體服務:系統整合服務']",37,14
4416,8,10,9,6,6,6,4,5,4,9,7,8,7,9,9,9,8,2,3,10,9,6,三圓,"['建材營造', '建材營造:建設業']",31,15
4555,8,10,9,7,8,2,7,8,7,3,4,2,2,2,2,1,2,1,5,8,9,6,氣立,"['電機機械', '電機機械:油空壓元件']",16,15
9941,9,10,5,10,3,8,9,10,10,8,1,8,2,7,7,1,7,1,4,8,10,1,裕融,"['其他', '其他:其他']",8,11
1805,10,7,9,2,5,5,2,2,2,2,2,2,6,10,10,9,9,2,5,5,10,6,寶徠,"['建材營造', '建材營造:建設業']",24,16
6668,9,10,6,7,2,9,8,7,7,7,10,2,9,3,3,9,3,3,4,6,2,6,中揚光,"['電腦及週邊設備', '電腦及週邊設備:光學鏡片、鏡頭']",33,8
3680,10,10,9,10,9,8,10,10,10,8,3,8,3,7,7,4,8,5,6,10,9,9,家登,"['半導體', '半導體:生產製程及檢測設備']",24,18
4190,6,7,5,7,1,2,8,7,7,4,1,1,1,1,1,1,1,1,6,10,9,6,無資料,無資料,5,15
3707,8,10,7,8,1,3,8,8,8,5,2,3,1,5,5,1,4,2,5,8,4,6,漢磊,"['半導體', '半導體:DRAM製造', '半導體:IC_晶圓製造', '半導體:其他IC_二極體製造', '半導體:晶圓製造', '半導體:砷化鎵']",7,10
6472,10,10,10,10,8,8,10,10,10,9,1,9,2,10,10,3,9,3,7,10,1,9,保瑞,"['製藥', '製藥:中、西藥製劑', '製藥:藥品代理銷售及通路']",17,10
6515,10,10,10,10,9,9,9,10,9,9,9,8,9,9,9,9,9,9,8,9,2,9,穎崴,"['半導體', '半導體:生產製程及檢測設備']",45,11
