date,發行量加權股價報酬指數,sharpe,sharpe_MA_20,sharpe_MA_60,sharpe_MA_100
2003-10-20,6212.75,,,,
2003-10-21,6195.95,,,,
2003-10-22,6175.92,,,,
2003-10-23,6084.3,,,,
2003-10-24,6049.45,,,,
2003-10-27,6090.76,,,,
2003-10-28,6210.25,,,,
2003-10-29,6231.13,,,,
2003-10-30,6243.68,,,,
2003-10-31,6179.34,,,,
2003-11-03,6222.66,,,,
2003-11-04,6244.68,,,,
2003-11-05,6278.76,,,,
2003-11-06,6146.98,,,,
2003-11-07,6191.38,,,,
2003-11-10,6193.63,,,,
2003-11-11,6155.86,,,,
2003-11-12,6115.65,,,,
2003-11-13,6169.52,,,,
2003-11-14,6179.05,,,,
2003-11-17,6084.55,,,,
2003-11-18,6071.41,,,,
2003-11-19,5995.8,,,,
2003-11-20,5963.84,,,,
2003-11-21,5959.57,,,,
2003-11-24,5950.9,,,,
2003-11-25,5991.38,,,,
2003-11-26,5990.8,,,,
2003-11-27,5868.09,,,,
2003-11-28,5899.99,,,,
2003-12-01,6000.57,,,,
2003-12-02,6042.77,,,,
2003-12-03,6015.7,,,,
2003-12-04,6051.97,,,,
2003-12-05,6031.12,,,,
2003-12-08,5977.03,,,,
2003-12-09,5989.73,,,,
2003-12-10,5932.34,,,,
2003-12-11,5997.39,,,,
2003-12-12,5988.46,,,,
2003-12-15,6055.84,,,,
2003-12-16,6018.0,,,,
2003-12-17,5879.79,,,,
2003-12-18,5896.91,,,,
2003-12-19,5887.16,,,,
2003-12-22,5964.73,,,,
2003-12-23,5975.37,,,,
2003-12-24,5988.02,,,,
2003-12-25,5983.76,,,,
2003-12-26,5987.34,,,,
2003-12-29,5933.87,,,,
2003-12-30,5997.1,,,,
2003-12-31,6021.57,,,,
2004-01-02,6175.79,,,,
2004-01-05,6261.52,,,,
2004-01-06,6280.51,,,,
2004-01-07,6277.7,1.631862034076873,,,
2004-01-08,6306.23,1.556015522500923,,,
2004-01-09,6365.33,1.5367886004112534,,,
2004-01-12,6357.9,1.5200426941151712,,,
2004-01-13,6348.28,1.3893034075063995,,,
2004-01-14,6414.47,1.4602741129754973,,,
2004-01-15,6403.62,1.4164941377409348,,,
2004-01-16,6409.09,1.295101867264776,,,
2004-01-27,6526.56,1.3766472406460444,,,
2004-01-28,6528.22,1.3540494817459328,,,
2004-01-29,6452.98,1.3712027603330275,,,
2004-01-30,6517.11,1.4524415761740803,,,
2004-02-02,6460.46,1.3686592318933812,,,
2004-02-03,6391.22,1.3206942534206465,,,
2004-02-04,6380.14,1.2679455425703472,,,
2004-02-05,6407.48,1.2104010379692371,,,
2004-02-06,6494.59,1.2933139225891659,,,
2004-02-09,6606.76,1.4559902456442486,,,
2004-02-10,6632.58,1.434632698604292,,,
2004-02-11,6597.88,1.6070475891258327,1.415945397865403,,
2004-02-12,6580.04,1.7012385414476718,1.419414223233943,,
2004-02-13,6694.77,1.8837907028423129,1.4358029822510125,,
2004-02-16,6711.32,1.9229940022184926,1.4551132523413748,,
2004-02-17,6747.2,1.942500030595446,1.4762361191653883,,
2004-02-18,6752.7,2.087677904683762,1.5111548440242566,,
2004-02-19,6830.05,2.157309888310192,1.5460066327909912,,
2004-02-20,6813.72,1.9640181600338957,1.5733828339056393,,
2004-02-23,6814.07,2.084804994509646,1.6128679902678826,,
2004-02-24,6735.71,2.0867069067540376,1.6483709735732823,,
2004-02-25,6791.99,2.128047849681162,1.6870708919700441,,
2004-02-26,6842.04,2.167239229849921,1.7268727154458887,,
2004-02-27,6900.61,2.145306710421441,1.7615159721582565,,
2004-03-01,7041.56,2.447948924461226,1.815480456786649,,
2004-03-02,7130.32,2.5062076060698897,1.874756124419111,,
2004-03-03,7086.28,2.5020375278409177,1.9364607236826394,,
2004-03-04,7190.47,2.475330026507976,1.9997071731095761,,
2004-03-05,7098.04,2.434918580404684,2.0567874060003524,,
2004-03-08,7054.9,2.507894716485271,2.109382629542403,,
2004-03-09,7128.94,2.5850279798955187,2.1669023936069647,,
2004-03-10,7027.75,2.5633382536043783,2.2147169268308917,,
2004-03-11,7032.04,2.605373213591019,2.2599236604380595,,
2004-03-12,6951.41,2.6196584588637033,2.296717048239129,,
2004-03-15,6783.5,2.3979562952188993,2.3204651628891493,,
2004-03-16,6736.22,2.3028355807255854,2.3384819403956563,,
2004-03-17,6724.21,2.191858436965441,2.34369096700974,,
2004-03-18,6937.91,2.48785237000676,2.360218091094569,,
2004-03-19,6966.59,2.3445347716981892,2.379243921677783,,
2004-03-22,6501.3,1.9039932899145726,2.3702033364480295,,
2004-03-23,6310.12,1.6532642379395284,2.3485312030073042,,
2004-03-24,6351.69,1.6984852849554348,2.3270530747710176,,
2004-03-25,6293.6,1.6692740361317953,2.302154815085111,,
2004-03-26,6268.95,1.7326080428614827,2.281519881707114,,
2004-03-29,6618.03,1.9414716844379787,2.256196019705951,,
2004-03-30,6639.09,1.9374492089129767,2.2277580998481055,,
2004-03-31,6667.18,1.9987529528359789,2.2025938710978585,,
2004-04-01,6668.51,2.1985694437085157,2.188755841957886,,
2004-04-02,6691.05,2.1966165744847927,2.1768407416618913,,
2004-04-05,6831.29,2.3185579438282105,2.167373903029038,,
2004-04-06,6783.05,2.2323745032729514,2.14974122919791,,
2004-04-07,6794.5,2.108072010089847,2.126977917022183,1.9192134139061594,
2004-04-08,6821.2,2.049953601482612,2.0992069364167625,1.926181606696255,
2004-04-09,6767.53,2.0354083913441725,2.0699944330407862,1.9341714878436425,
2004-04-12,6928.45,2.155566816786696,2.057874959119176,1.9444844581165668,
2004-04-13,6945.38,2.163178077321581,2.050892083948976,1.955203381170007,
2004-04-14,7033.13,2.233483327918396,2.052973328496624,1.9692730465102066,
2004-04-15,6886.55,2.20255841512809,2.03870863075269,1.9816444515460832,
2004-04-16,6969.77,2.228596762661825,2.032911730300872,1.9951794952947648,
2004-04-19,6929.88,2.08447608740916,2.0419358701756014,2.008335732297171,
2004-04-20,6951.13,2.1468397718621133,2.0666146468717304,2.0211722744841056,
