date,發行量加權股價報酬指數,DX_ffn
2015-09-04,12657.98,96.2300033569336
2015-09-07,12636.28,
2015-09-08,12660.12,95.87999725341797
2015-09-09,13111.99,96.01000213623047
2015-09-10,13083.26,95.45999908447266
2015-09-11,13142.05,95.19000244140625
2015-09-14,13145.15,95.25
2015-09-15,13070.62,95.61000061035156
2015-09-16,13186.61,95.41999816894531
2015-09-17,13364.37,94.55000305175781
2015-09-18,13390.69,94.86000061035156
2015-09-21,13147.31,95.88999938964844
2015-09-22,13240.85,96.27999877929688
2015-09-23,12967.82,96.06999969482422
2015-09-24,12856.92,95.98999786376953
2015-09-25,12871.55,96.2699966430664
2015-09-30,12948.92,96.3499984741211
2015-10-01,13130.68,96.19000244140625
2015-10-02,13145.07,95.83000183105469
2015-10-05,13219.98,96.11000061035156
2015-10-06,13286.04,95.45999908447266
2015-10-07,13446.11,95.5
2015-10-08,13368.45,95.31999969482422
2015-10-12,13570.69,94.83999633789062
2015-10-13,13561.51,94.76000213623047
2015-10-14,13489.63,93.93000030517578
2015-10-15,13615.03,94.37000274658203
2015-10-16,13620.47,94.54000091552734
2015-10-19,13662.48,94.95999908447266
2015-10-20,13697.47,94.8499984741211
2015-10-21,13627.23,95.05000305175781
2015-10-22,13626.3,96.33999633789062
2015-10-23,13729.75,97.06999969482422
2015-10-26,13843.0,96.86000061035156
2015-10-27,13773.29,96.91000366210938
2015-10-28,13717.37,97.77999877929688
2015-10-29,13567.14,97.27999877929688
2015-10-30,13540.6,96.94999694824219
2015-11-02,13636.3,96.93000030517578
2015-11-03,13792.14,97.16000366210938
2015-11-04,14019.85,97.94999694824219
2015-11-05,14009.04,97.94000244140625
2015-11-06,13761.14,99.16000366210938
2015-11-09,13680.33,98.9800033569336
2015-11-10,13513.2,99.29000091552734
2015-11-11,13320.26,99.01000213623047
2015-11-12,13340.97,98.6500015258789
2015-11-13,13184.9,98.98999786376953
2015-11-16,13130.94,99.44000244140625
2015-11-17,13327.25,99.62999725341797
2015-11-18,13202.28,99.6500015258789
2015-11-19,13418.72,98.98999786376953
2015-11-20,13400.13,99.56999969482422
2015-11-23,13432.22,99.80000305175781
2015-11-24,13296.85,99.52999877929688
2015-11-25,13274.68,99.80000305175781
2015-11-26,13431.02,
2015-11-27,13294.11,100.0199966430664
2015-11-30,13170.98,100.16999816894531
2015-12-01,13396.84,99.80000305175781
2015-12-02,13387.49,99.98999786376953
2015-12-03,13385.38,97.62000274658203
2015-12-04,13294.42,98.3499984741211
2015-12-07,13382.54,98.66000366210938
2015-12-08,13207.77,98.47000122070312
2015-12-09,13026.93,97.3499984741211
2015-12-10,13005.65,97.94000244140625
2015-12-11,12846.91,97.56999969482422
2015-12-14,12727.03,97.5999984741211
2015-12-15,12779.57,98.22000122070312
2015-12-16,12955.77,97.87000274658203
2015-12-17,13169.48,99.2699966430664
2015-12-18,13070.79,98.69999694824219
2015-12-21,13110.11,98.45999908447266
2015-12-22,13126.86,98.23999786376953
2015-12-23,13163.19,98.33999633789062
2015-12-24,13176.9,97.9800033569336
2015-12-25,13238.52,
2015-12-28,13230.93,97.91999816894531
2015-12-29,13128.71,98.0999984741211
2015-12-30,13106.66,98.2699966430664
2015-12-31,13198.59,98.62999725341797
2016-01-04,12844.34,98.87000274658203
2016-01-05,12782.35,99.4000015258789
2016-01-06,12648.25,99.18000030517578
2016-01-07,12429.29,98.22000122070312
2016-01-08,12495.63,98.54000091552734
2016-01-11,12328.55,98.7300033569336
2016-01-12,12296.93,98.97000122070312
2016-01-13,12385.83,98.93000030517578
2016-01-14,12256.45,99.08999633789062
2016-01-15,12286.75,98.95999908447266
2016-01-18,12364.57,99.12000274658203
2016-01-19,12433.75,98.98999786376953
2016-01-20,12187.2,99.08999633789062
2016-01-21,12131.61,99.05999755859375
2016-01-22,12277.51,99.56999969482422
2016-01-25,12495.91,99.36000061035156
2016-01-26,12392.26,99.36000061035156
2016-01-27,12425.75,98.9000015258789
2016-01-28,12513.24,98.51000213623047
2016-01-29,12791.05,99.61000061035156
2016-01-30,12893.32,
2016-02-01,12911.93,99.0
2016-02-02,12871.2,98.87000274658203
2016-02-03,12763.19,97.29000091552734
2016-02-15,12768.75,
2016-02-16,12999.16,96.87000274658203
2016-02-17,13002.6,96.79000091552734
2016-02-18,13161.56,96.94999694824219
2016-02-19,13177.98,96.5999984741211
2016-02-22,13180.58,97.37999725341797
2016-02-23,13193.18,97.4800033569336
2016-02-24,13111.21,97.45999908447266
2016-02-25,13242.6,97.29000091552734
2016-02-26,13314.3,98.1500015258789
2016-03-01,13432.27,98.3499984741211
2016-03-02,13524.65,98.20999908447266
2016-03-03,13631.89,97.56999969482422
2016-03-04,13682.17,97.33999633789062
2016-03-07,13707.48,97.06999969482422
2016-03-08,13715.02,97.20999908447266
2016-03-09,13667.22,97.16999816894531
2016-03-10,13709.32,96.06999969482422
2016-03-11,13781.24,96.16999816894531
2016-03-14,13847.34,96.62000274658203
2016-03-15,13630.92,96.62999725341797
2016-03-16,13770.16,95.88999938964844
2016-03-17,13826.18,94.76000213623047
2016-03-18,13946.77,94.98999786376953
2016-03-21,13949.92,95.29000091552734
2016-03-22,13907.14,95.6500015258789
2016-03-23,13876.13,96.05000305175781
2016-03-24,13840.19,96.13999938964844
2016-03-25,13779.38,
2016-03-28,13756.4,95.94000244140625
2016-03-29,13640.69,95.16000366210938
2016-03-30,13830.15,94.83999633789062
2016-03-31,13842.48,94.58999633789062
2016-04-01,13704.33,94.62000274658203
2016-04-06,13475.98,94.43000030517578
2016-04-07,13439.5,94.4800033569336
2016-04-08,13520.62,94.23999786376953
2016-04-11,13554.0,93.94999694824219
2016-04-12,13504.28,93.95999908447266
2016-04-13,13695.67,94.73999786376953
2016-04-14,13720.4,94.9000015258789
2016-04-15,13772.14,94.69999694824219
2016-04-18,13717.71,94.48999786376953
2016-04-19,13666.6,93.9800033569336
2016-04-20,13477.84,94.48999786376953
2016-04-21,13563.59,94.5999984741211
2016-04-22,13511.51,95.12000274658203
2016-04-25,13550.35,94.83999633789062
2016-04-26,13584.04,94.56999969482422
2016-04-27,13554.74,94.38999938964844
2016-04-28,13413.57,93.76000213623047
2016-04-29,13261.65,93.08000183105469
2016-05-03,13129.04,92.94000244140625
2016-05-04,12957.15,93.18000030517578
2016-05-05,12929.43,93.77999877929688
2016-05-06,12895.87,93.88999938964844
2016-05-09,12872.76,94.1500015258789
2016-05-10,12911.48,94.29000091552734
2016-05-11,12878.78,93.81999969482422
2016-05-12,12835.23,94.13999938964844
2016-05-13,12749.18,94.61000061035156
2016-05-16,12771.19,94.56999969482422
2016-05-17,12886.55,94.55000305175781
2016-05-18,12916.95,95.08000183105469
2016-05-19,12816.12,95.29000091552734
2016-05-20,12871.97,95.30999755859375
2016-05-23,13209.44,95.2300033569336
2016-05-24,13140.13,95.56999969482422
2016-05-25,13291.38,95.3499984741211
2016-05-26,13288.09,95.16999816894531
2016-05-27,13398.19,95.5199966430664
2016-05-30,13512.57,
2016-05-31,13512.13,95.88999938964844
2016-06-01,13609.6,95.45999908447266
2016-06-02,13544.71,95.55999755859375
2016-06-03,13598.38,94.02999877929688
2016-06-04,13605.05,
2016-06-06,13613.81,93.9000015258789
2016-06-07,13744.93,93.83000183105469
2016-06-08,13801.32,93.58999633789062
2016-06-13,13517.66,94.37000274658203
2016-06-14,13581.06,94.93000030517578
2016-06-15,13629.59,94.61000061035156
2016-06-16,13452.09,94.56999969482422
2016-06-17,13569.18,94.20999908447266
2016-06-20,13661.23,93.61000061035156
2016-06-21,13756.79,94.0199966430664
2016-06-22,13807.06,93.72000122070312
2016-06-23,13751.3,93.52999877929688
2016-06-24,13436.89,95.44999694824219
2016-06-27,13520.95,96.54000091552734
2016-06-28,13596.83,96.25
2016-06-29,13728.77,95.7699966430664
2016-06-30,13869.89,96.13999938964844
2016-07-01,13986.37,95.6500015258789
2016-07-04,14044.9,
2016-07-05,13977.7,96.16999816894531
2016-07-06,13766.24,96.05999755859375
2016-07-07,13888.96,96.33000183105469
2016-07-11,14128.03,96.56999969482422
2016-07-12,14234.16,96.44000244140625
2016-07-13,14282.59,96.22000122070312
2016-07-14,14308.93,96.08000183105469
2016-07-15,14457.21,96.58000183105469
2016-07-18,14558.82,96.55999755859375
2016-07-19,14619.8,97.05000305175781
2016-07-20,14580.73,97.19999694824219
2016-07-21,14700.09,97.0
2016-07-22,14630.38,97.47000122070312
2016-07-25,14603.09,97.29000091552734
2016-07-26,14670.69,97.16000366210938
2016-07-27,14735.18,97.05000305175781
2016-07-28,14762.78,96.73999786376953
