date,PR5,PR25,PR50,PR75,PR95,平均數,sharpe,sharpe_MA_20,sharpe_MA_60
2010-11-26,99.6075,106.0,111.19999999999999,122.0,213.54999999999998,126.76475409836065,,,
2010-11-29,99.6075,106.15,111.525,123.55000000000001,212.79999999999995,127.0407786885246,,,
2010-11-30,99.655,106.55,112.4,124.525,213.19999999999982,127.86954732510289,,,
2010-12-01,99.6575,106.875,112.25,125.42500000000001,212.79999999999995,128.07725409836064,,,
2010-12-02,99.6575,107.0,112.85,125.625,212.49999999999994,128.4659836065574,,,
2010-12-03,99.655,107.0,112.7,126.725,213.19999999999982,128.61604938271606,,,
2010-12-06,99.6525,107.075,112.975,125.525,213.5999999999999,128.9675619834711,,,
2010-12-07,99.65,107.0,113.0,126.5,214.0,129.29937759336102,,,
2010-12-08,99.65,107.0,113.1,126.3,214.0,129.46659751037342,,,
2010-12-09,99.6525,107.0,114.0,127.15,213.5999999999999,129.80847107438018,,,
2010-12-10,99.65,107.0,114.0,127.0,214.0,130.13091286307056,,,
2010-12-13,99.6525,107.0,114.225,126.9375,213.5999999999999,130.16838842975207,,,
2010-12-14,99.7,107.0,114.0,126.44999999999999,208.89999999999998,130.0395061728395,,,
2010-12-15,99.6525,107.19999999999999,114.0,124.8125,207.39999999999986,130.04380165289257,,,
2010-12-16,99.6525,107.5,114.0,125.15,207.4999999999999,130.2805785123967,,,
2010-12-17,99.6575,107.0,114.0,125.625,207.85,130.36659836065573,,,
2010-12-20,99.6575,107.875,114.0,126.125,213.09999999999997,130.49487704918033,,,
2010-12-21,99.6575,107.875,113.95,126.55,205.89999999999992,130.0452868852459,,,
2010-12-22,99.6575,108.0,114.05,127.15,205.89999999999992,130.2608606557377,,,
2010-12-23,99.6575,108.0,114.65,128.5,205.89999999999992,130.5969262295082,,,
2010-12-24,99.6575,108.0,114.45,127.625,206.79999999999995,130.525,,,
2010-12-27,99.665,107.45,114.45,126.5,207.19999999999982,130.48106995884774,,,
2010-12-28,99.665,107.15,114.0,126.325,207.19999999999982,130.4641975308642,,,
2010-12-29,99.85499999999999,107.0,114.0,125.925,207.19999999999982,130.42510288065844,,,
2010-12-30,99.66000000000001,107.0,113.9,125.975,207.19999999999982,130.2329218106996,,,
