stock_id,近一日收盤價,近一季股本,近一季合約負債_流動,當月營收,rev_year_growth_營收年增率,rev_month_growth_營收月增率,累計營收,近3月平均營收,近12月平均營收,近一季營業毛利率,最近一季營業毛利年增率,近一季營業利益率,近一季營業利益年增率,近一季稅後淨利率,近一季稅後淨利率,近一季稅後淨利年增率,近一季每股盈餘EPS,eps_growth_rate_EPS年增率,近一日殖利率,近一季存貨,最近一日外資買賣超張數,最近一日投信買賣超張數,name,category,S+A+B+C+D+E,外資+投信
1586,5.0,5.0,4.0,6.0,8.0,6.0,5.0,6.0,5.0,3.0,9.0,3.0,9.0,2.0,2.0,1.0,2.0,10.0,3.0,6.0,5.0,6.0,和勤,"['電機機械', '電機機械:機械設備之沖壓零組件', '電機機械:車用機械傳動設備及零配件', '電腦及週邊設備', '電腦及週邊設備:其他電腦及週邊設備之零組件', '電腦及週邊設備:金屬、塑膠模具']",42.0,11.0
6248,4.0,4.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,2.0,5.0,4.0,4.0,3.0,3.0,4.0,6.0,4.0,9.0,6.0,2.0,6.0,沛波,"['鋼鐵', '鋼鐵:裁剪加工']",30.0,8.0
6257,8.0,9.0,5.0,9.0,5.0,4.0,9.0,9.0,9.0,6.0,3.0,8.0,4.0,9.0,9.0,5.0,9.0,5.0,9.0,5.0,10.0,10.0,矽格,"['半導體', '半導體:IC封裝測試']",30.0,20.0
4129,8.0,5.0,2.0,7.0,8.0,3.0,7.0,7.0,6.0,10.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,9.0,5.0,8.0,9.0,1.0,聯合,"['醫療器材', '醫療器材:人工關節']",50.0,10.0
3413,10.0,5.0,,9.0,2.0,6.0,9.0,9.0,9.0,6.0,2.0,8.0,3.0,8.0,8.0,4.0,10.0,4.0,10.0,9.0,8.0,6.0,京鼎,"['LED照明產業', 'LED照明產業:燈具_應用', '半導體', '半導體:生產製程及檢測設備']",25.0,14.0
8103,6.0,4.0,,6.0,7.0,7.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,5.0,9.0,6.0,瀚荃,"['連接器', '連接器:連接器設計、組裝及製造', '電腦及週邊設備', '電腦及週邊設備:連接線']",43.0,15.0
3416,9.0,4.0,6.0,5.0,2.0,6.0,5.0,5.0,5.0,8.0,5.0,9.0,6.0,9.0,9.0,6.0,9.0,6.0,7.0,5.0,4.0,6.0,融程電,"['觸控面板', '觸控面板:觸控面板', '電腦及週邊設備', '電腦及週邊設備:工業電腦']",34.0,10.0
2236,8.0,2.0,7.0,5.0,9.0,2.0,5.0,5.0,5.0,7.0,9.0,7.0,9.0,5.0,5.0,10.0,6.0,10.0,3.0,5.0,3.0,6.0,無資料,無資料,55.0,9.0
2906,3.0,8.0,5.0,8.0,7.0,3.0,8.0,8.0,8.0,7.0,7.0,5.0,8.0,4.0,4.0,6.0,4.0,5.0,6.0,8.0,10.0,6.0,高林,"['貿易百貨', '貿易百貨:貿易商、代理商、經銷商']",36.0,16.0
5230,4.0,2.0,,4.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,4.0,8.0,4.0,4.0,5.0,4.0,5.0,6.0,5.0,3.0,6.0,雷笛克光學,"['LED照明產業', 'LED照明產業:封裝_模組', 'LED照明產業:燈具_應用', '汽車', '汽車:車燈']",36.0,9.0
1342,9.0,4.0,3.0,5.0,4.0,7.0,5.0,5.0,5.0,7.0,7.0,10.0,7.0,9.0,9.0,7.0,9.0,8.0,8.0,6.0,9.0,10.0,八貫,"['其他', '其他:其他', '航太週邊', '航太週邊:航空零組件']",42.0,19.0
3346,6.0,6.0,3.0,8.0,8.0,5.0,8.0,8.0,8.0,3.0,7.0,4.0,8.0,4.0,4.0,8.0,7.0,9.0,3.0,9.0,1.0,6.0,麗清,"['LED照明產業', 'LED照明產業:封裝_模組', 'LED照明產業:燈具_應用']",46.0,7.0
3290,4.0,6.0,,5.0,4.0,4.0,5.0,5.0,5.0,7.0,7.0,8.0,7.0,7.0,7.0,5.0,6.0,5.0,4.0,3.0,3.0,6.0,東浦,"['汽車', '汽車:其他', '通信網路', '通信網路:塑膠_金屬機殼', '電腦及週邊設備', '電腦及週邊設備:其他電腦及週邊設備之零組件']",32.0,9.0
5263,9.0,3.0,7.0,3.0,8.0,6.0,3.0,3.0,3.0,8.0,6.0,2.0,7.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,6.0,6.0,智崴,"['休閒娛樂', '休閒娛樂:娛樂服務業', '文化創意業', '文化創意業:數位內容產業', '軟體服務', '軟體服務:應用_系統軟體設計開發', '體驗科技', '體驗科技:IT服務', '體驗科技:其他', '體驗科技:地圖', '體驗科技:垂直應用方案', '體驗科技:培訓', '體驗科技:安防', '體驗科技:工作流程引導', '體驗科技:應用軟體_內容', '體驗科技:會議', '體驗科技:物流', '體驗科技:系統整合', '體驗科技:製造', '體驗科技:資服', '體驗科技:遊戲', '體驗科技:醫療', '體驗科技:重工業']",34.0,12.0
4164,7.0,7.0,6.0,7.0,10.0,1.0,7.0,7.0,7.0,6.0,3.0,7.0,3.0,5.0,5.0,3.0,4.0,3.0,6.0,7.0,1.0,1.0,承業醫,"['其他', '其他:其他', '醫療器材', '醫療器材:醫療器材代理', '醫療器材:醫療器材代理銷售及通路', '醫療器材:醫療院所、醫療器材專賣店、藥局等通路']",29.0,2.0
1338,6.0,5.0,6.0,8.0,4.0,9.0,7.0,7.0,7.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,8.0,7.0,8.0,6.0,廣華-KY,"['汽車', '汽車:其他']",24.0,14.0
6591,7.0,2.0,,4.0,2.0,2.0,4.0,4.0,4.0,7.0,10.0,7.0,10.0,7.0,7.0,10.0,8.0,10.0,10.0,4.0,3.0,6.0,動力-KY,"['電腦及週邊設備', '電腦及週邊設備:散熱片、風扇馬達、散熱模組']",49.0,9.0
4555,7.0,4.0,3.0,4.0,4.0,9.0,4.0,4.0,4.0,6.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,7.0,7.0,6.0,氣立,"['電機機械', '電機機械:油空壓元件']",17.0,13.0
2610,3.0,10.0,10.0,10.0,8.0,3.0,10.0,10.0,10.0,3.0,10.0,5.0,10.0,5.0,5.0,10.0,5.0,10.0,5.0,10.0,1.0,6.0,華航,"['交通運輸及航運', '交通運輸及航運:海陸空大眾運輸']",51.0,7.0
8422,10.0,6.0,,7.0,2.0,8.0,7.0,7.0,7.0,9.0,2.0,10.0,3.0,9.0,9.0,3.0,8.0,4.0,9.0,2.0,10.0,1.0,可寧衛,"['其他', '其他:環保潔能服務產業']",24.0,11.0
3209,5.0,8.0,8.0,10.0,2.0,1.0,10.0,10.0,10.0,1.0,9.0,4.0,8.0,3.0,3.0,5.0,7.0,5.0,10.0,10.0,3.0,6.0,全科,"['半導體', '半導體:IC通路']",34.0,9.0
2439,9.0,8.0,8.0,10.0,9.0,2.0,10.0,10.0,10.0,3.0,5.0,5.0,6.0,4.0,4.0,5.0,9.0,5.0,7.0,9.0,10.0,1.0,美律,"['能源元件', '能源元件:電池模組', '通信網路', '通信網路:無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒)', '電腦及週邊設備', '電腦及週邊設備:其他電腦及週邊設備之零組件']",39.0,11.0
8050,8.0,8.0,8.0,7.0,2.0,8.0,7.0,7.0,7.0,5.0,2.0,6.0,3.0,9.0,9.0,4.0,9.0,4.0,10.0,8.0,1.0,6.0,廣積,"['電腦及週邊設備', '電腦及週邊設備:工業電腦']",23.0,7.0
